ne,fa,r,s,Fertilizer
Total,MAP,0.1,0.14,CF
Ba,MAP,-0.18,0.018,CF
Fu,MAP,0.26,0.00079,CF
OP,MAP,-0.2,0.0085,CF
PP,MAP,0.34,0.0000029,CF
H,MAP,0.018,0.87,CF
MI,MAP,-0.18,0.053,CF
SI,MAP,-0.18,0.15,CF
EI,MAP,-0.076,0.53,CF
CI,MAP,0.22,0.13,CF
PPI,MAP,0.054,0.71,CF
Total,MAT,-0.14,0.058,CF
Ba,MAT,-0.19,0.012,CF
Fu,MAT,0.13,0.091,CF
OP,MAT,0.12,0.12,CF
PP,MAT,-0.097,0.2,CF
H,MAT,0.22,0.044,CF
MI,MAT,-0.11,0.24,CF
SI,MAT,0.17,0.16,CF
EI,MAT,-0.44,0.00011,CF
CI,MAT,0.28,0.048,CF
PPI,MAT,-0.34,0.016,CF
Total,Latitude,0.093,0.19,CF
Ba,Latitude,0.26,0.00076,CF
Fu,Latitude,-0.22,0.0052,CF
OP,Latitude,-0.14,0.064,CF
PP,Latitude,-0.022,0.77,CF
H,Latitude,-0.07,0.53,CF
MI,Latitude,0.2,0.036,CF
SI,Latitude,-0.075,0.54,CF
EI,Latitude,0.22,0.06,CF
CI,Latitude,-0.3,0.035,CF
PPI,Latitude,0.25,0.086,CF
Total,Longitude,0.084,0.24,CF
Ba,Longitude,-0.017,0.83,CF
Fu,Longitude,0.27,0.00049,CF
OP,Longitude,-0.14,0.07,CF
PP,Longitude,0.13,0.087,CF
H,Longitude,0.14,0.21,CF
MI,Longitude,-0.29,0.0017,CF
SI,Longitude,-0.37,0.002,CF
EI,Longitude,0.15,0.2,CF
CI,Longitude,-0.14,0.34,CF
PPI,Longitude,-0.23,0.11,CF
Total,N,-0.034,0.68,CF
Ba,N,0.13,0.14,CF
Fu,N,-0.043,0.64,CF
OP,N,-0.015,0.87,CF
PP,N,-0.19,0.028,CF
H,N,-0.16,0.21,CF
MI,N,-0.24,0.044,CF
SI,N,0.077,0.58,CF
EI,N,0.14,0.29,CF
CI,N,0.056,0.75,CF
PPI,N,0.028,0.87,CF
Total,P,-0.09,0.44,CF
Ba,P,0.1,0.41,CF
Fu,P,-0.22,0.063,CF
OP,P,-0.085,0.49,CF
PP,P,-0.12,0.31,CF
H,P,-0.42,0.038,CF
MI,P,0.018,0.91,CF
SI,P,-0.18,0.45,CF
EI,P,-0.44,0.032,CF
CI,P,0.43,0.11,CF
PPI,P,-0.25,0.32,CF
Total,K,-0.16,0.26,CF
Ba,K,0.32,0.027,CF
Fu,K,-0.41,0.0034,CF
OP,K,0.15,0.33,CF
PP,K,-0.44,0.002,CF
H,K,-0.48,0.27,CF
MI,K,0.47,0.0053,CF
SI,K,0.18,0.51,CF
EI,K,0.13,0.62,CF
CI,K,-0.62,0.14,CF
PPI,K,-0.29,0.31,CF
Total,Duration,0.015,0.83,CF
Ba,Duration,-0.038,0.63,CF
Fu,Duration,0.11,0.17,CF
OP,Duration,-0.11,0.16,CF
PP,Duration,0.085,0.26,CF
H,Duration,0.087,0.43,CF
MI,Duration,0.062,0.52,CF
SI,Duration,-0.33,0.0065,CF
EI,Duration,0.13,0.29,CF
CI,Duration,-0.2,0.17,CF
PPI,Duration,-0.18,0.21,CF
Total,moisture,-0.026,0.92,CF
Ba,moisture,-0.044,0.86,CF
Fu,moisture,0.0031,0.99,CF
OP,moisture,-0.049,0.85,CF
PP,moisture,-0.34,0.16,CF
H,moisture,0.42,0.16,CF
MI,moisture,0.52,0.13,CF
SI,moisture,-0.029,1,CF
EI,moisture,-0.13,0.73,CF
CI,moisture,0.071,0.91,CF
PPI,moisture,-0.5,1,CF
Total,cpH,-0.12,0.34,CF
Ba,cpH,-0.15,0.27,CF
Fu,cpH,-0.14,0.32,CF
OP,cpH,0.29,0.044,CF
PP,cpH,-0.046,0.73,CF
H,cpH,0.26,0.074,CF
MI,cpH,0.25,0.17,CF
SI,cpH,0.53,0.004,CF
EI,cpH,-0.43,0.015,CF
CI,cpH,0.1,0.62,CF
PPI,cpH,-0.37,0.17,CF
Total,TOC,-0.12,0.42,CF
Ba,TOC,0.011,0.95,CF
Fu,TOC,-0.077,0.64,CF
OP,TOC,0.013,0.94,CF
PP,TOC,-0.12,0.45,CF
H,TOC,0.12,0.54,CF
MI,TOC,-0.17,0.34,CF
SI,TOC,0.085,0.63,CF
EI,TOC,-0.15,0.38,CF
CI,TOC,0.34,0.14,CF
PPI,TOC,-0.04,0.85,CF
Total,TN,-0.015,0.92,CF
Ba,TN,0.065,0.7,CF
Fu,TN,-0.21,0.2,CF
OP,TN,0.052,0.76,CF
PP,TN,-0.055,0.74,CF
H,TN,0.14,0.47,CF
MI,TN,-0.095,0.61,CF
SI,TN,0.22,0.26,CF
EI,TN,-0.13,0.49,CF
CI,TN,0.23,0.41,CF
PPI,TN,-0.14,0.52,CF
Total,CN,-0.4,0.009,CF
Ba,CN,-0.4,0.014,CF
Fu,CN,-0.15,0.37,CF
OP,CN,-0.31,0.065,CF
PP,CN,-0.51,0.0012,CF
H,CN,0.33,0.1,CF
MI,CN,0.25,0.18,CF
SI,CN,0.069,0.73,CF
EI,CN,0.027,0.89,CF
CI,CN,-0.12,0.71,CF
PPI,CN,-0.12,0.56,CF
Total,NH,0.064,0.82,CF
Ba,NH,0.45,0.14,CF
Fu,NH,-0.24,0.46,CF
OP,NH,-0.48,0.12,CF
PP,NH,-0.55,0.067,CF
H,NH,-0.095,0.84,CF
MI,NH,0.74,0.046,CF
SI,NH,-0.45,0.17,CF
EI,NH,0.27,0.33,CF
CI,NH,-0.36,0.31,CF
PPI,NH,NA,NA,CF
Total,NO,0.37,0.17,CF
Ba,NO,0.48,0.12,CF
Fu,NO,0.24,0.46,CF
OP,NO,-0.014,0.97,CF
PP,NO,-0.19,0.56,CF
H,NO,0,1,CF
MI,NO,0.74,0.046,CF
SI,NO,0.045,0.9,CF
EI,NO,0.35,0.2,CF
CI,NO,-0.42,0.23,CF
PPI,NO,NA,NA,CF
Total,AP,-0.21,0.32,CF
Ba,AP,-0.22,0.33,CF
Fu,AP,-0.22,0.32,CF
OP,AP,-0.16,0.46,CF
PP,AP,-0.11,0.64,CF
H,AP,-0.13,0.62,CF
MI,AP,-0.42,0.045,CF
SI,AP,0,1,CF
EI,AP,-0.042,0.9,CF
CI,AP,0.16,0.66,CF
PPI,AP,0.044,0.89,CF
Total,AK,-0.36,0.43,CF
Ba,AK,-0.81,0.05,CF
Fu,AK,0.29,0.58,CF
OP,AK,-0.9,0.015,CF
PP,AK,-0.46,0.35,CF
H,AK,0.2,0.7,CF
MI,AK,0.087,0.87,CF
SI,AK,1,0.33,CF
EI,AK,0.5,1,CF
CI,AK,0.5,1,CF
PPI,AK,0.46,0.43,CF
Total,MAP,-0.045,0.48,OF
Ba,MAP,-0.072,0.27,OF
Fu,MAP,-0.12,0.065,OF
OP,MAP,-0.22,0.00094,OF
PP,MAP,0.024,0.71,OF
H,MAP,0.049,0.61,OF
MI,MAP,0.048,0.59,OF
SI,MAP,-0.15,0.084,OF
EI,MAP,0.038,0.65,OF
CI,MAP,-0.072,0.46,OF
PPI,MAP,0.22,0.033,OF
Total,MAT,-0.11,0.09,OF
Ba,MAT,-0.069,0.29,OF
Fu,MAT,-0.16,0.014,OF
OP,MAT,0.13,0.051,OF
PP,MAT,-0.14,0.031,OF
H,MAT,-0.24,0.012,OF
MI,MAT,0.037,0.67,OF
SI,MAT,0.24,0.0043,OF
EI,MAT,0.15,0.075,OF
CI,MAT,-0.14,0.15,OF
PPI,MAT,0.28,0.0068,OF
Total,Latitude,0.12,0.059,OF
Ba,Latitude,0.018,0.79,OF
Fu,Latitude,0.094,0.15,OF
OP,Latitude,-0.26,0.000083,OF
PP,Latitude,0.075,0.25,OF
H,Latitude,-0.084,0.39,OF
MI,Latitude,-0.21,0.014,OF
SI,Latitude,-0.15,0.074,OF
EI,Latitude,-0.12,0.14,OF
CI,Latitude,0.12,0.23,OF
PPI,Latitude,-0.2,0.049,OF
Total,Longitude,-0.027,0.67,OF
Ba,Longitude,0.06,0.36,OF
Fu,Longitude,0.052,0.43,OF
OP,Longitude,-0.0043,0.95,OF
PP,Longitude,0.045,0.49,OF
H,Longitude,-0.032,0.74,OF
MI,Longitude,0.011,0.9,OF
SI,Longitude,-0.34,0.000059,OF
EI,Longitude,0.14,0.091,OF
CI,Longitude,-0.24,0.012,OF
PPI,Longitude,-0.17,0.095,OF
Total,C,0.34,0.00023,OF
Ba,C,0.2,0.031,OF
Fu,C,0.27,0.004,OF
OP,C,0.035,0.74,OF
PP,C,-0.081,0.39,OF
H,C,-0.38,0.0048,OF
MI,C,-0.36,0.004,OF
SI,C,-0.53,0.000035,OF
EI,C,-0.066,0.62,OF
CI,C,-0.22,0.18,OF
PPI,C,0.17,0.33,OF
Total,N,0.079,0.39,OF
Ba,N,0.14,0.12,OF
Fu,N,0.057,0.55,OF
OP,N,-0.12,0.21,OF
PP,N,-0.21,0.018,OF
H,N,-0.27,0.039,OF
MI,N,-0.29,0.017,OF
SI,N,-0.36,0.0049,OF
EI,N,-0.043,0.72,OF
CI,N,-0.25,0.089,OF
PPI,N,0.0049,0.98,OF
Total,P,-0.056,0.62,OF
Ba,P,0.012,0.91,OF
Fu,P,0.18,0.095,OF
OP,P,0.16,0.17,OF
PP,P,-0.33,0.0013,OF
H,P,-0.13,0.44,OF
MI,P,-0.13,0.39,OF
SI,P,-0.25,0.11,OF
EI,P,0.06,0.7,OF
CI,P,-0.37,0.043,OF
PPI,P,0.043,0.82,OF
Total,K,-0.13,0.28,OF
Ba,K,-0.14,0.2,OF
Fu,K,0.12,0.29,OF
OP,K,0.27,0.022,OF
PP,K,-0.31,0.0041,OF
H,K,-0.16,0.32,OF
MI,K,-0.19,0.21,OF
SI,K,-0.019,0.92,OF
EI,K,0.067,0.69,OF
CI,K,-0.085,0.69,OF
PPI,K,0.36,0.069,OF
Total,Duration,0.083,0.19,OF
Ba,Duration,0.052,0.43,OF
Fu,Duration,0.031,0.64,OF
OP,Duration,0.018,0.8,OF
PP,Duration,0.26,0.000049,OF
H,Duration,0.21,0.03,OF
MI,Duration,0.039,0.65,OF
SI,Duration,-0.24,0.0041,OF
EI,Duration,0.22,0.0061,OF
CI,Duration,-0.27,0.0045,OF
PPI,Duration,-0.13,0.21,OF
Total,moisture,-0.5,0.023,OF
Ba,moisture,-0.34,0.15,OF
Fu,moisture,-0.079,0.75,OF
OP,moisture,-0.1,0.68,OF
PP,moisture,-0.64,0.0098,OF
H,moisture,-0.18,0.54,OF
MI,moisture,0.071,0.82,OF
SI,moisture,-0.55,0.17,OF
EI,moisture,0.83,0.0056,OF
CI,moisture,-0.14,0.78,OF
PPI,moisture,-0.19,0.61,OF
Total,cpH,0.075,0.5,OF
Ba,cpH,-0.16,0.15,OF
Fu,cpH,0.00096,0.99,OF
OP,cpH,0.31,0.0064,OF
PP,cpH,0.14,0.24,OF
H,cpH,0.43,0.019,OF
MI,cpH,0.19,0.19,OF
SI,cpH,0.24,0.082,OF
EI,cpH,-0.21,0.13,OF
CI,cpH,0.24,0.11,OF
PPI,cpH,0.092,0.55,OF
Total,TOC,-0.25,0.017,OF
Ba,TOC,-0.009,0.93,OF
Fu,TOC,0.043,0.69,OF
OP,TOC,-0.085,0.43,OF
PP,TOC,-0.46,0.0000094,OF
H,TOC,-0.2,0.17,OF
MI,TOC,-0.19,0.19,OF
SI,TOC,0.052,0.74,OF
EI,TOC,0.05,0.75,OF
CI,TOC,0.13,0.45,OF
PPI,TOC,0.32,0.1,OF
Total,TN,-0.3,0.017,OF
Ba,TN,-0.056,0.66,OF
Fu,TN,-0.076,0.56,OF
OP,TN,-0.21,0.11,OF
PP,TN,-0.012,0.93,OF
H,TN,0.36,0.035,OF
MI,TN,-0.056,0.75,OF
SI,TN,-0.12,0.47,OF
EI,TN,0.2,0.23,OF
CI,TN,-0.033,0.87,OF
PPI,TN,0.055,0.8,OF
Total,CN,-0.23,0.067,OF
Ba,CN,-0.11,0.37,OF
Fu,CN,-0.28,0.027,OF
OP,CN,0.021,0.87,OF
PP,CN,-0.4,0.0017,OF
H,CN,-0.62,0.00011,OF
MI,CN,-0.24,0.19,OF
SI,CN,0.28,0.11,OF
EI,CN,0.12,0.49,OF
CI,CN,-0.0074,0.97,OF
PPI,CN,0.64,0.00081,OF
Total,NH,-0.29,0.37,OF
Ba,NH,-0.5,0.14,OF
Fu,NH,0.067,0.86,OF
OP,NH,-0.52,0.13,OF
PP,NH,0.67,0.039,OF
H,NH,0.7,0.031,OF
MI,NH,0.2,0.92,OF
SI,NH,-0.067,0.88,OF
EI,NH,-0.033,0.95,OF
CI,NH,0.029,1,OF
PPI,NH,NA,NA,OF
Total,NO,-0.11,0.72,OF
Ba,NO,-0.1,0.75,OF
Fu,NO,-0.31,0.32,OF
OP,NO,0.27,0.39,OF
PP,NO,0.38,0.23,OF
H,NO,0.59,0.08,OF
MI,NO,-0.2,0.92,OF
SI,NO,-0.28,0.4,OF
EI,NO,-0.25,0.47,OF
CI,NO,-0.14,0.75,OF
PPI,NO,NA,NA,OF
Total,AP,0.17,0.33,OF
Ba,AP,-0.18,0.32,OF
Fu,AP,0.00046,1,OF
OP,AP,-0.078,0.66,OF
PP,AP,-0.1,0.56,OF
H,AP,-0.07,0.79,OF
MI,AP,-0.27,0.29,OF
SI,AP,-0.34,0.31,OF
EI,AP,0.055,0.88,OF
CI,AP,0.19,0.66,OF
PPI,AP,-0.43,0.13,OF
Total,AK,-0.27,0.29,OF
Ba,AK,-0.41,0.099,OF
Fu,AK,-0.6,0.01,OF
OP,AK,-0.32,0.21,OF
PP,AK,-0.25,0.33,OF
H,AK,-0.26,0.37,OF
MI,AK,-0.007,0.98,OF
SI,AK,-0.32,0.41,OF
EI,AK,-0.1,0.81,OF
CI,AK,-0.54,0.3,OF
PPI,AK,0.48,0.19,OF
